TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set1-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Treatment Arm,Value,EXP,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Better Response,Parameter,Better Response,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Better Response,Value,Larger Value,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Endpoint Name,Value,EP1,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Endpoint Type,Value,Binary,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Priority,Parameter,Priority,20260807T105557_a0be45,,
Result - set1-4 | Plan #2,Priority,Value,Primary,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Number of Analysis,Parameter,Number of Analysis,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Number of Analysis,Value,7,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Response Rate (H0),Parameter,Response Rate (H0),20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Response Rate (H0),Value,0.25,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Response Rate (H1),Parameter,Response Rate (H1),20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Response Rate (H1),Value,0.56,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Test Name,Parameter,Test Name,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Test Name,Value,BOP2 (Single Arm Bayesian Optimal Design),20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #1,Type 1 Error (α),Value,0.026,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #2,Response Rate,Parameter,Response Rate,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #2,Response Rate,Value,0.6,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Number of Simulations Run,Value,1001,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Random Number Seed,Value,Fixed,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Starting Seed,Value,101,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260807T105557_a0be45,,
Result - set1-4 | Simulation Summary #3,Total Number of Simulations,Value,1001,20260807T105557_a0be45,,
